diagnosis_code,diagnosis_category
F65,Disorders of adult personality and behaviour
F66,Disorders of adult personality and behaviour
F67,Disorders of adult personality and behaviour
F68,Disorders of adult personality and behaviour
F69,Disorders of adult personality and behaviour
F70,Mental retardation
F71,Mental retardation
F72,Mental retardation
F73,Mental retardation
F74,Mental retardation
F75,Mental retardation
F76,Mental retardation
F77,Mental retardation
F78,Mental retardation
F79,Mental retardation
F80,Disorders of psychological development
F81,Disorders of psychological development
F82,Disorders of psychological development
F83,Disorders of psychological development
F84,Disorders of psychological development
F85,Disorders of psychological development
F86,Disorders of psychological development
F87,Disorders of psychological development
F88,Disorders of psychological development
F89,Disorders of psychological development
F90,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F91,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F92,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F93,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F94,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F95,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F96,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F97,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F99,Unspecified mental disorder
G00,Inflammatory diseases of the central nervous system
G01,Inflammatory diseases of the central nervous system
G02,Inflammatory diseases of the central nervous system
G03,Inflammatory diseases of the central nervous system
G04,Inflammatory diseases of the central nervous system
G05,Inflammatory diseases of the central nervous system
G06,Inflammatory diseases of the central nervous system
G07,Inflammatory diseases of the central nervous system
G08,Inflammatory diseases of the central nervous system
G09,Inflammatory diseases of the central nervous system
G10,Systemic atrophies primarily affecting the central nervous system
G11,Systemic atrophies primarily affecting the central nervous system
G12,Systemic atrophies primarily affecting the central nervous system
G13,Systemic atrophies primarily affecting the central nervous system
G14,Systemic atrophies primarily affecting the central nervous system
G15,Neurological Disorders
G16,Neurological Disorders
G17,Neurological Disorders
G18,Neurological Disorders
G19,Neurological Disorders
G20,Extrapyramidal and movement disorders
G21,Extrapyramidal and movement disorders
G22,Extrapyramidal and movement disorders
G23,Extrapyramidal and movement disorders
G24,Extrapyramidal and movement disorders
G25,Extrapyramidal and movement disorders
G26,Extrapyramidal and movement disorders
G27,Movement Disorders
G28,Movement Disorders
G29,Movement Disorders
G30,Other degenerative diseases of the nervous system
G31,Other degenerative diseases of the nervous system
G32,Other degenerative diseases of the nervous system
G33,Demyelinating diseases of the central nervous system
G34,Demyelinating diseases of the central nervous system
G35,Demyelinating diseases of the central nervous system
G36,Demyelinating diseases of the central nervous system
G37,Demyelinating diseases of the central nervous system
G38,"Nerve, Nerve Root and Plexus Disorders:"
G39,"Nerve, Nerve Root and Plexus Disorders:"
G40,Episodic and paroxysmal disorders
G41,Episodic and paroxysmal disorders
G42,Episodic and paroxysmal disorders
G43,Episodic and paroxysmal disorders
G44,Episodic and paroxysmal disorders
G45,Episodic and paroxysmal disorders
G46,Episodic and paroxysmal disorders
G47,Episodic and paroxysmal disorders
G50,"Nerve, nerve root and plexus disorders"
G51,"Nerve, nerve root and plexus disorders"
G52,"Nerve, nerve root and plexus disorders"
G53,"Nerve, nerve root and plexus disorders"
G54,"Nerve, nerve root and plexus disorders"
G55,"Nerve, nerve root and plexus disorders"
G56,"Nerve, nerve root and plexus disorders"
G57,"Nerve, nerve root and plexus disorders"
G58,"Nerve, nerve root and plexus disorders"
G59,"Nerve, nerve root and plexus disorders"
G60,Polyneuropathies and other disorders of the peripheral nervous system
G61,Polyneuropathies and other disorders of the peripheral nervous system
G62,Polyneuropathies and other disorders of the peripheral nervous system
G63,Polyneuropathies and other disorders of the peripheral nervous system
G64,Polyneuropathies and other disorders of the peripheral nervous system
G65,Cerebral Palsy and Other Paralytic Syndromes
G66,Cerebral Palsy and Other Paralytic Syndromes
G67,Cerebral Palsy and Other Paralytic Syndromes
G68,Cerebral Palsy and Other Paralytic Syndromes
G69,Cerebral Palsy and Other Paralytic Syndromes
G70,Diseases of myoneural junction and muscle
G71,Diseases of myoneural junction and muscle
G72,Diseases of myoneural junction and muscle
G73,Diseases of myoneural junction and muscle
G74,"Nerve, Nerve Root and Plexus Disorders"
G75,"Nerve, Nerve Root and Plexus Disorders"
G76,"Nerve, Nerve Root and Plexus Disorders"
G77,"Nerve, Nerve Root and Plexus Disorders"
G78,"Nerve, Nerve Root and Plexus Disorders"
G79,"Nerve, Nerve Root and Plexus Disorders"
G80,Cerebral palsy and other paralytic syndromes
G81,Cerebral palsy and other paralytic syndromes
G82,Cerebral palsy and other paralytic syndromes
G83,Cerebral palsy and other paralytic syndromes
G84,Pain and Other Symptoms
G85,Pain and Other Symptoms
G86,Pain and Other Symptoms
G87,Pain and Other Symptoms
G88,Pain and Other Symptoms
G89,Pain and Other Symptoms
G90,Other disorders of the nervous system
G91,Other disorders of the nervous system
G92,Other disorders of the nervous system
G93,Other disorders of the nervous system
G94,Other disorders of the nervous system
G95,Other disorders of the nervous system
G96,Other disorders of the nervous system
G97,Other disorders of the nervous system
G98,Other disorders of the nervous system
G99,Other disorders of the nervous system
H00,"Disorders of eyelid, lacrimal system and orbit"
H01,"Disorders of eyelid, lacrimal system and orbit"
H02,"Disorders of eyelid, lacrimal system and orbit"
H03,"Disorders of eyelid, lacrimal system and orbit"
H04,"Disorders of eyelid, lacrimal system and orbit"
H05,"Disorders of eyelid, lacrimal system and orbit"
H06,"Disorders of eyelid, lacrimal system and orbit"
H07,Disorders of the Eye and Adnexa
H08,Disorders of the Eye and Adnexa
H09,Disorders of the Eye and Adnexa
H10,Disorders of conjunctiva
H11,Disorders of conjunctiva
H12,Disorders of conjunctiva
H13,Disorders of conjunctiva
H14,Disorders of the Eye and Adnexa
H15,"Disorders of sclera, cornea, iris and ciliary body"
H16,"Disorders of sclera, cornea, iris and ciliary body"
H17,"Disorders of sclera, cornea, iris and ciliary body"
H18,"Disorders of sclera, cornea, iris and ciliary body"
H19,"Disorders of sclera, cornea, iris and ciliary body"
H20,"Disorders of sclera, cornea, iris and ciliary body"
H21,"Disorders of sclera, cornea, iris and ciliary body"
H22,"Disorders of sclera, cornea, iris and ciliary body"
H23,Disorders of the Eye and Adnexa
H24,Disorders of the Eye and Adnexa
H25,Disorders of lens
H26,Disorders of lens
H27,Disorders of lens
H28,Disorders of lens
H29,Disorders of the Eye and Adnexa
H30,Disorders of choroid and retina
H31,Disorders of choroid and retina
H32,Disorders of choroid and retina
H33,Disorders of choroid and retina
H34,Disorders of choroid and retina
H35,Disorders of choroid and retina
H36,Disorders of choroid and retina
H37,Disorders of the Eye and Adnexa
H38,Disorders of the Eye and Adnexa
H39,Disorders of the Eye and Adnexa
H40,Glaucoma
H41,Glaucoma
H42,Glaucoma
